Abendschule|evening school
Abfall|waste
Abgas|exhaust gas
Abschluss|graduation
Abstimmung|vote
Altbau|old building
Ampel|traffic light
Analyse|analysis
Angebot|offer
Angeklagte|defendant
Anwalt|lawyer
Anzeige|report
Arbeitgeber|employer
Arbeitnehmer|employee
Arbeitsamt|employment office
Arbeitsvertrag|employment contract
Argument|argument
Artenschutz|species protection
Ausbildung|apprenticeship
Auszug|extract
Autobahn|highway
Autor|author
Bachelor|bachelor's degree
Beförderung|promotion
Behandlung|treatment
Bekannte|acquaintance
Berufserfahrung|professional experience
Beschwerde|complaint
Besichtigung|visit
Bestseller|bestseller
Beweis|proof
Bewerbungsschreiben|cover letter
Bewältigung|coping
Beziehung|relationship
Biologie|biology
Blutprobe|blood test
Branche|industry
Burnout|burnout
Bußgeld|fine
Bürger|citizen
CO2-Ausstoß|CO2 emissions
Chemie|chemistry
Daten|data
Daumen drücken|to wish luck
Demokratie|democracy
Demonstration|demonstration
Denkmal|monument
Depression|depression
Diagnose|diagnosis
Dichter|poet
Diebstahl|theft
Diktatur|dictatorship
Diplom|diploma
Diskussion|discussion
Dokumentarfilm|documentary film
Drehbuch|screenplay
Eigentümer|owner
Einbahnstraße|one-way street
Einigung|agreement
Einzug|move-in
Entdeckung|discovery
Epoche|epoch
Erfindung|invention
Ergebnis|result
Erholung|recreation
Erinnerung|memory
Erzählung|story
Experiment|experiment
Export|export
Facharzt|specialist
Fahrgemeinschaft|carpool
Film|film
Forscher|researcher
Forschung|research
Fortbildung|further education
Freiheit|freedom
Freundschaft|friendship
Frieden|peace
Fähigkeit|ability
Führerschein|driver's license
Gedicht|poem
Gefängnis|prison
Gegenwart|present
Gehaltserhöhung|salary increase
Geldstrafe|fine
Gerechtigkeit|justice
Gericht|court
Geschichte|history
Geschwindigkeit|speed
Geschwindigkeitsbegrenzung|speed limit
Gesellschaft|society
Gesetz|law
Gewinn|profit
Gewohnheit|habit
Gleichheit|equality
Grenze|border
Grundriss|floor plan
Hals- und Beinbruch|break a leg
Handel|trade
Handlung|action
Hauptfigur|main character
Hausarbeit|housework
Hausarzt|family doctor
Haushalt|household
Hautfarbe|skin color
Heimat|homeland
Heizung|heating
Herausforderung|challenge
Herkunft|origin
Herr|mister
Herzen|hearts
Herztöne|heartbeats
Hexe|witch
Hilfe|help
Hilflosigkeit|helplessness
Hilfsbereitschaft|willingness to help
Himmel|sky
Hindernis|obstacle
Hingabe|devotion
Hintergrund|background
Hinterlist|treachery
Hinweis|hint
Hirn|brain
Hitze|heat
Hobby|hobby
Hochachtung|respect
Hochbahn|elevated railway
Hochdeutsch|standard German
Hochebene|plateau
Hocherfreut|delighted
Hochfläche|highland
Hochfrequenz|high frequency
Hochgebirge|high mountains
Hochgeschwindigkeit|high speed
Hochglanz|high gloss
Hochhafen|main port
Hochhaus|skyscraper
Hochhochwasser|extreme flood
Hochkammer|upper chamber
Hochkante|edge
Hochkapazität|high capacity
Hochkirche|high church
Hochkonjunktur|boom
Hochkonservativ|highly conservative
Hochkontrast|high contrast
Hochkonzentration|high concentration
Hochkosten|high costs
Hochkultur|high culture
Hochlage|high position
Hochland|highlands
Hochlast|heavy load
Hochleistung|high performance
Hochleistungsfähig|high-performance
Hochleistungssport|high-performance sport
Hochmacht|high power
Hochmasse|high mass
Hochmeister|high master
Hochmessung|high measurement
Hochmeteorologie|high-altitude meteorology
Hochmild|mild
Hochmineral|high mineral
Hochmisere|high misery
